kode,string
16,"PDRB jenis produksi menyumbang PDRB ke 34 Provinsi, yaitu Aceh, Sumatera Utara, Sumatera Barat, Riau, Jambi, Sumatera Selatan, Bengkulu, Lampung, Kep. Bangka Belitung, Kep. Riau, DKI Jakarta, Jawa Barat, Jawa Tengah, DI Yogyakarta, Jawa Timur, Banten, Bali, Nusa Tenggara Barat, Nusa Tenggara Timur, Kalimantan Barat, Kalimantan Tengah, Kalimantan Selatan, Kalimantan Timur, Kalimantan Utara, Sulawesi Utara, Sulawesi Tengah, Sulawesi Selatan, Sulawesi Tenggara, Gorontalo, Sulawesi Barat, Maluku, Maluku Utara, Papua Barat, Papua"
17,Total PDRB Provinsi Aceh adalah 449637997.076607 rupiah
18,Total PDRB Provinsi Bali adalah 583614791.566123 rupiah
19,Total PDRB Provinsi Banten adalah 1784174048.427313 rupiah
20,Total PDRB Provinsi Bengkulu adalah 181494343.521734 rupiah
21,Total PDRB Provinsi DI Yogyakarta adalah 385300055.030495 rupiah
22,Total PDRB Provinsi DKI Jakarta adalah 6669276689.240736 rupiah
23,Total PDRB Provinsi Gorontalo adalah 99449343.222758 rupiah
24,Total PDRB Provinsi Jambi adalah 416363119.208297 rupiah
25,Total PDRB Provinsi Jawa Barat adalah 5578549271.478041 rupiah
26,Total PDRB Provinsi Jawa Tengah adalah 3214132708.769714 rupiah
27,Total PDRB Provinsi Jawa Timur adalah 5453138611.781976 rupiah
28,Total PDRB Provinsi Kalimantan Barat adalah 440370778.362853 rupiah
29,Total PDRB Provinsi Kalimantan Selatan adalah 469097137.489610 rupiah
30,Total PDRB Provinsi Kalimantan Tengah adalah 357393724.510750 rupiah
31,Total PDRB Provinsi Kalimantan Timur adalah 1261618663.302987 rupiah
32,Total PDRB Provinsi Kalimantan Utara adalah 182292915.114975 rupiah
33,Total PDRB Provinsi Kep. Bangka Belitung adalah 192460083.231301 rupiah
34,Total PDRB Provinsi Kep. Riau adalah 608810001.270459 rupiah
35,Total PDRB Provinsi Lampung adalah 797891803.956676 rupiah
36,Total PDRB Provinsi Maluku adalah 152200219.537285 rupiah
37,Total PDRB Provinsi Maluku Utara adalah 108872179.915539 rupiah
38,Total PDRB Provinsi Nusa Tenggara Barat adalah 376724848.756804 rupiah
39,Total PDRB Provinsi Nusa Tenggara Timur adalah 298466277.968633 rupiah
40,Total PDRB Provinsi Papua adalah 459599088.129638 rupiah
41,Total PDRB Provinsi Papua Barat adalah 187279199.205971 rupiah
42,Total PDRB Provinsi Riau adalah 1504246464.380315 rupiah
43,Total PDRB Provinsi Sulawesi Barat adalah 101022428.295642 rupiah
44,Total PDRB Provinsi Sulawesi Selatan adalah 1132298547.369829 rupiah
45,Total PDRB Provinsi Sulawesi Tengah adalah 355135212.369549 rupiah
46,Total PDRB Provinsi Sulawesi Tenggara adalah 281833086.039802 rupiah
47,Total PDRB Provinsi Sulawesi Utara adalah 329996138.188697 rupiah
48,Total PDRB Provinsi Sumatera Barat adalah 581293873.483321 rupiah
49,Total PDRB Provinsi Sumatera Selatan adalah 1181239507.015953 rupiah
50,Total PDRB Provinsi Sumatera Utara adalah 1697117012.350340 rupiah
51,"Provinsi Aceh memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
52,"Provinsi Bali memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
53,"Provinsi Banten memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
54,"Provinsi Bengkulu memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
55,"Provinsi DI Yogyakarta memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
56,"Provinsi DKI Jakarta memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
57,"Provinsi Gorontalo memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
58,"Provinsi Jambi memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
59,"Provinsi Jawa Barat memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
60,"Provinsi Jawa Tengah memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
61,"Provinsi Jawa Timur memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
62,"Provinsi Kalimantan Barat memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
63,"Provinsi Kalimantan Selatan memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
64,"Provinsi Kalimantan Tengah memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
65,"Provinsi Kalimantan Timur memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
66,"Provinsi Kalimantan Utara memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
67,"Provinsi Kep. Bangka Belitung memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
68,"Provinsi Kep. Riau memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
69,"Provinsi Lampung memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
70,"Provinsi Maluku memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
71,"Provinsi Maluku Utara memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
72,"Provinsi Nusa Tenggara Barat memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
73,"Provinsi Nusa Tenggara Timur memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
74,"Provinsi Papua memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
75,"Provinsi Papua Barat memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
76,"Provinsi Riau memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
77,"Provinsi Sulawesi Barat memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
78,"Provinsi Sulawesi Selatan memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
79,"Provinsi Sulawesi Tengah memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
80,"Provinsi Sulawesi Tenggara memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
81,"Provinsi Sulawesi Utara memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
82,"Provinsi Sumatera Barat memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
83,"Provinsi Sumatera Selatan memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
84,"Provinsi Sumatera Utara memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
85,"PDRB Provinsi Aceh berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
86,"PDRB Provinsi Bali berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
87,"PDRB Provinsi Banten berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
88,"PDRB Provinsi Bengkulu berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
89,"PDRB Provinsi DI Yogyakarta berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
90,"PDRB Provinsi DKI Jakarta berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
91,"PDRB Provinsi Gorontalo berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
92,"PDRB Provinsi Jambi berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
93,"PDRB Provinsi Jawa Barat berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
94,"PDRB Provinsi Jawa Tengah berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
95,"PDRB Provinsi Jawa Timur berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
96,"PDRB Provinsi Kalimantan Barat berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
97,"PDRB Provinsi Kalimantan Selatan berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
98,"PDRB Provinsi Kalimantan Tengah berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
99,"PDRB Provinsi Kalimantan Timur berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
100,"PDRB Provinsi Kalimantan Utara berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
101,"PDRB Provinsi Kep. Bangka Belitung berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
102,"PDRB Provinsi Kep. Riau berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
103,"PDRB Provinsi Lampung berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
104,"PDRB Provinsi Maluku berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
105,"PDRB Provinsi Maluku Utara berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
106,"PDRB Provinsi Nusa Tenggara Barat berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
107,"PDRB Provinsi Nusa Tenggara Timur berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
108,"PDRB Provinsi Papua berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
109,"PDRB Provinsi Papua Barat berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
110,"PDRB Provinsi Riau berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
111,"PDRB Provinsi Sulawesi Barat berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
112,"PDRB Provinsi Sulawesi Selatan berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
